 Vd,Vg1,Vg2,Vg3,Vg4,Vg5,Vg6,Vg7,Vg8,Vg9,Vg10,Vg11
4.5,8.26E-09,8.34E-09,8.70E-09,9.16E-09,9.66E-09,1.02E-08,1.07E-08,1.14E-08,1.23E-08,1.33E-08,1.45E-08
4.537,8.27E-09,8.35E-09,8.71E-09,9.17E-09,9.66E-09,1.02E-08,1.07E-08,1.15E-08,1.23E-08,1.33E-08,1.45E-08
4.575,8.28E-09,8.36E-09,8.72E-09,9.18E-09,9.67E-09,1.02E-08,1.08E-08,1.15E-08,1.23E-08,1.33E-08,1.45E-08
4.612,8.29E-09,8.37E-09,8.73E-09,9.19E-09,9.68E-09,1.02E-08,1.08E-08,1.15E-08,1.24E-08,1.33E-08,1.45E-08
4.65,8.30E-09,8.36E-09,8.74E-09,9.19E-09,9.70E-09,1.03E-08,1.08E-08,1.15E-08,1.24E-08,1.33E-08,1.45E-08
4.687,8.30E-09,8.38E-09,8.75E-09,9.20E-09,9.71E-09,1.03E-08,1.08E-08,1.15E-08,1.24E-08,1.34E-08,1.45E-08
4.725,8.31E-09,8.39E-09,8.76E-09,9.22E-09,9.72E-09,1.03E-08,1.08E-08,1.15E-08,1.24E-08,1.34E-08,1.45E-08
4.763,8.32E-09,8.40E-09,8.77E-09,9.21E-09,9.73E-09,1.03E-08,1.08E-08,1.15E-08,1.24E-08,1.34E-08,1.46E-08
4.8,8.33E-09,8.40E-09,8.78E-09,9.24E-09,9.74E-09,1.03E-08,1.08E-08,1.15E-08,1.24E-08,1.34E-08,1.46E-08
4.838,8.32E-09,8.42E-09,8.80E-09,9.24E-09,9.75E-09,1.03E-08,1.09E-08,1.15E-08,1.24E-08,1.34E-08,1.46E-08
4.875,8.34E-09,8.42E-09,8.81E-09,9.25E-09,9.75E-09,1.03E-08,1.09E-08,1.16E-08,1.25E-08,1.34E-08,1.46E-08
4.912,8.34E-09,8.43E-09,8.81E-09,9.26E-09,9.77E-09,1.03E-08,1.09E-08,1.16E-08,1.25E-08,1.34E-08,1.46E-08
4.95,8.36E-09,8.44E-09,8.83E-09,9.28E-09,9.77E-09,1.03E-08,1.09E-08,1.16E-08,1.25E-08,1.34E-08,1.46E-08
4.987,8.36E-09,8.46E-09,8.82E-09,9.28E-09,9.79E-09,1.04E-08,1.09E-08,1.16E-08,1.25E-08,1.35E-08,1.47E-08
5.025,8.37E-09,8.46E-09,8.84E-09,9.29E-09,9.79E-09,1.04E-08,1.09E-08,1.16E-08,1.25E-08,1.35E-08,1.47E-08
5.062,8.37E-09,8.46E-09,8.83E-09,9.30E-09,9.81E-09,1.04E-08,1.09E-08,1.16E-08,1.25E-08,1.35E-08,1.47E-08
5.1,8.39E-09,8.48E-09,8.86E-09,9.32E-09,9.82E-09,1.04E-08,1.09E-08,1.16E-08,1.25E-08,1.35E-08,1.47E-08
5.138,8.39E-09,8.48E-09,8.85E-09,9.32E-09,9.83E-09,1.04E-08,1.09E-08,1.16E-08,1.25E-08,1.35E-08,1.47E-08
5.175,8.41E-09,8.49E-09,8.87E-09,9.33E-09,9.84E-09,1.04E-08,1.09E-08,1.16E-08,1.26E-08,1.35E-08,1.47E-08
5.213,8.41E-09,8.48E-09,8.87E-09,9.34E-09,9.85E-09,1.04E-08,1.10E-08,1.17E-08,1.26E-08,1.35E-08,1.47E-08
5.25,8.41E-09,8.51E-09,8.90E-09,9.34E-09,9.86E-09,1.04E-08,1.10E-08,1.17E-08,1.26E-08,1.36E-08,1.47E-08
5.287,8.42E-09,8.51E-09,8.89E-09,9.35E-09,9.87E-09,1.04E-08,1.10E-08,1.17E-08,1.26E-08,1.36E-08,1.48E-08
5.325,8.42E-09,8.52E-09,8.91E-09,9.35E-09,9.88E-09,1.04E-08,1.10E-08,1.17E-08,1.26E-08,1.36E-08,1.48E-08
5.362,8.43E-09,8.53E-09,8.91E-09,9.37E-09,9.88E-09,1.05E-08,1.10E-08,1.17E-08,1.26E-08,1.36E-08,1.48E-08
5.4,8.43E-09,8.54E-09,8.93E-09,9.37E-09,9.89E-09,1.05E-08,1.10E-08,1.17E-08,1.26E-08,1.36E-08,1.48E-08
5.437,8.44E-09,8.53E-09,8.93E-09,9.39E-09,9.89E-09,1.05E-08,1.10E-08,1.17E-08,1.26E-08,1.36E-08,1.48E-08
5.475,8.44E-09,8.56E-09,8.93E-09,9.39E-09,9.91E-09,1.05E-08,1.10E-08,1.17E-08,1.26E-08,1.36E-08,1.48E-08
5.513,8.45E-09,8.56E-09,8.95E-09,9.40E-09,9.91E-09,1.05E-08,1.10E-08,1.17E-08,1.27E-08,1.36E-08,1.48E-08
5.55,8.46E-09,8.57E-09,8.94E-09,9.41E-09,9.93E-09,1.05E-08,1.11E-08,1.18E-08,1.27E-08,1.37E-08,1.49E-08
5.588,8.48E-09,8.57E-09,8.96E-09,9.42E-09,9.93E-09,1.05E-08,1.10E-08,1.18E-08,1.27E-08,1.37E-08,1.49E-08
5.625,8.47E-09,8.58E-09,8.97E-09,9.43E-09,9.94E-09,1.05E-08,1.11E-08,1.18E-08,1.27E-08,1.37E-08,1.49E-08
5.662,8.48E-09,8.59E-09,8.98E-09,9.44E-09,9.95E-09,1.05E-08,1.11E-08,1.18E-08,1.27E-08,1.37E-08,1.49E-08
5.7,8.48E-09,8.59E-09,8.97E-09,9.45E-09,9.97E-09,1.05E-08,1.11E-08,1.18E-08,1.27E-08,1.37E-08,1.49E-08
5.737,8.50E-09,8.61E-09,8.99E-09,9.45E-09,9.97E-09,1.05E-08,1.11E-08,1.18E-08,1.27E-08,1.37E-08,1.49E-08
5.775,8.51E-09,8.60E-09,8.99E-09,9.46E-09,9.98E-09,1.06E-08,1.11E-08,1.18E-08,1.27E-08,1.37E-08,1.49E-08
5.812,8.50E-09,8.62E-09,9.01E-09,9.46E-09,9.99E-09,1.05E-08,1.11E-08,1.18E-08,1.27E-08,1.37E-08,1.49E-08
5.85,8.52E-09,8.61E-09,9.02E-09,9.48E-09,1.00E-08,1.06E-08,1.11E-08,1.18E-08,1.28E-08,1.37E-08,1.50E-08
5.888,8.51E-09,8.63E-09,9.03E-09,9.48E-09,1.00E-08,1.06E-08,1.11E-08,1.18E-08,1.28E-08,1.38E-08,1.50E-08
5.925,8.52E-09,8.63E-09,9.03E-09,9.50E-09,1.00E-08,1.06E-08,1.11E-08,1.18E-08,1.28E-08,1.38E-08,1.50E-08
5.963,8.52E-09,8.65E-09,9.04E-09,9.49E-09,1.00E-08,1.06E-08,1.12E-08,1.18E-08,1.28E-08,1.38E-08,1.50E-08
6,8.53E-09,8.64E-09,9.04E-09,9.51E-09,1.00E-08,1.06E-08,1.12E-08,1.19E-08,1.28E-08,1.38E-08,1.50E-08
6.037,8.53E-09,8.66E-09,9.05E-09,9.51E-09,1.00E-08,1.06E-08,1.12E-08,1.19E-08,1.28E-08,1.38E-08,1.50E-08
6.075,8.55E-09,8.66E-09,9.06E-09,9.52E-09,1.00E-08,1.06E-08,1.12E-08,1.19E-08,1.28E-08,1.38E-08,1.50E-08
6.112,8.54E-09,8.68E-09,9.05E-09,9.54E-09,1.01E-08,1.06E-08,1.12E-08,1.19E-08,1.28E-08,1.38E-08,1.51E-08
6.15,8.56E-09,8.69E-09,9.07E-09,9.54E-09,1.01E-08,1.06E-08,1.12E-08,1.19E-08,1.28E-08,1.38E-08,1.51E-08
6.187,8.56E-09,8.68E-09,9.07E-09,9.55E-09,1.01E-08,1.07E-08,1.12E-08,1.19E-08,1.28E-08,1.38E-08,1.51E-08
